Notes:   Date: 2024-09-24 13:57:57
Wavelength C:/Users/javie/OneDrive - Scuola Superiore Sant'Anna/Documents/GitHub/PyOsaGui/temp/fas.csv (nm),Power Trace 1 (dBm),Power Trace 2 (dBm)
1500.0,-23.376249583881293,-24.649590507968963
1500.0196078431372,-23.858878848966,-24.49665301820523
1500.0392156862745,-23.51174728342088,-24.55517356796706
1500.0588235294117,-23.35590348270214,-24.549478521139886
1500.078431372549,-23.06867772038804,-24.064774547197253
1500.0980392156862,-23.448511804613855,-23.8665729503632
1500.1176470588234,-23.84507413590229,-23.98900556715151
1500.1372549019607,-23.07440478238233,-23.737543608032293
1500.156862745098,-23.361154299335293,-23.74871015996137
1500.1764705882351,-23.765368839910984,-24.210669371846567
1500.1960784313724,-23.24419205870507,-24.56356793860079
1500.2156862745096,-23.016361199172522,-23.73750424930393
1500.2352941176468,-23.754949929932682,-24.363632426776057
1500.254901960784,-23.154345340029487,-24.146095178202398
1500.2745098039213,-22.90966852799313,-23.77754502594344
1500.2941176470586,-22.910328302041524,-24.50272333234975
1500.3137254901958,-22.99586224788321,-24.273353719521335
1500.333333333333,-22.825924297323976,-23.832549019391465
1500.3529411764703,-22.97249185308492,-23.678401341599926
1500.3725490196075,-23.47339450216641,-24.333720674399586
1500.3921568627447,-23.454221958602705,-24.099525192540167
1500.411764705882,-22.878850595189927,-24.112868540388153
1500.4313725490192,-23.42040391249753,-24.216890656343608
1500.4509803921565,-23.60041970325434,-24.24385588567099
1500.4705882352937,-23.244033016881488,-24.065287961822417
1500.490196078431,-22.697022117892967,-24.106749141846283
1500.5098039215682,-22.80371525312635,-23.947379948318034
1500.5294117647054,-22.93572232078898,-24.255101958093444
1500.5490196078426,-23.16506302774888,-23.695540395069564
1500.5686274509799,-23.14417790001596,-23.283050868317602
1500.588235294117,-23.378624909899834,-24.1392834240826
1500.6078431372543,-22.51014824893395,-23.554938622347066
1500.6274509803916,-22.69643569996349,-23.641798288256247
1500.6470588235288,-22.710804091253276,-23.674314361048946
1500.666666666666,-23.332250401547597,-23.26565212053712
1500.6862745098033,-23.300436464727884,-23.977285981683682
1500.7058823529405,-23.146042635766932,-23.295990802837142
1500.7254901960778,-22.619927255342702,-23.151913024137812
1500.745098039215,-22.817730332625608,-23.908840697942438
1500.7647058823522,-23.19358813725312,-23.820003916802772
1500.7843137254895,-22.484326178553165,-23.902242501473484
1500.8039215686267,-23.22764782009365,-23.923372330144293
1500.823529411764,-23.12199524053194,-23.6549182128414
1500.8431372549012,-22.597031867440194,-23.687316739282004
1500.8627450980384,-22.94225013619407,-23.24396126712911
1500.8823529411757,-22.48665553529124,-23.4083984218033
1500.901960784313,-23.06892317736414,-23.71372720563341
1500.9215686274501,-22.427793422425086,-23.441450509995924
1500.9411764705874,-23.052421452328037,-23.168452659865885
1500.9607843137246,-23.06358449140735,-23.0108414783772
1500.9803921568619,-23.015110801711213,-23.596932648261273
1500.999999999999,-22.11213068556559,-23.60581702378835
1501.0196078431363,-22.30341423315542,-23.73345643848392
1501.0392156862736,-22.121193538886757,-23.749046908392817
1501.0588235294108,-22.985326303564346,-23.314153110871878
1501.078431372548,-22.79337411067765,-23.370437603736427
1501.0980392156853,-22.873917203041245,-22.88982055338338
1501.1176470588225,-22.287192656426164,-22.885445852951058
1501.1372549019597,-21.97444332051038,-23.15047948758561
1501.156862745097,-22.4532606328589,-23.59198056007222
1501.1764705882342,-22.239695601751897,-23.1341137494393
1501.1960784313715,-22.10730433040458,-23.471694293532913
1501.2156862745087,-22.72446728176934,-22.991702694341484
1501.235294117646,-22.367446072718366,-23.359385730988866
1501.2549019607832,-22.508078056127374,-22.96728782726462
1501.2745098039204,-22.142432117766013,-22.67637589126505
1501.2941176470576,-22.599720279408764,-23.260299709914502
1501.3137254901949,-21.883578565645738,-22.983992683874398
1501.3333333333321,-21.88992748977364,-23.185161451512947
1501.3529411764694,-21.815711242530128,-22.939177860337317
1501.3725490196066,-22.016175859720942,-23.35255965354748
1501.3921568627438,-22.073708142376866,-22.85755652765681
1501.411764705881,-21.757246891763522,-22.545077958396423
1501.4313725490183,-22.497629032728714,-22.822107866877936
1501.4509803921555,-21.77214867861476,-23.21218814964487
1501.4705882352928,-21.93207990872998,-22.8943534785784
1501.49019607843,-22.25105865093276,-23.07209375988012
1501.5098039215673,-22.16112366725262,-22.398197446519813
1501.5294117647045,-21.783113322002915,-23.245260615257912
1501.5490196078417,-21.977853240650827,-22.774163157379874
1501.568627450979,-21.575233723221725,-22.4022398394843
1501.5882352941162,-21.698048777090527,-22.96317020908744
1501.6078431372534,-22.082658063522363,-23.06046987705188
1501.6274509803907,-21.800368593525405,-23.11015673693661
1501.647058823528,-21.982285718818957,-22.36227052654846
1501.6666666666652,-22.119827200114678,-22.785019215746082
1501.6862745098024,-21.583795374002626,-22.702223313717415
1501.7058823529396,-22.37668277797582,-22.153545492962614
1501.7254901960769,-21.701165473919655,-22.57724740402799
1501.745098039214,-21.453852056211748,-22.55239839661404
1501.7647058823513,-22.34265875399013,-22.59211815781989
1501.7843137254886,-22.197475488209538,-22.280220340146315
1501.8039215686258,-22.203017584935928,-22.370829705378853
1501.823529411763,-21.847529843490427,-22.051042109336926
1501.8431372549003,-21.703729314315787,-22.84821859416863
1501.8627450980375,-21.559112149125404,-22.411079153336328
1501.8823529411748,-22.07827680112423,-22.90724099853799
1501.901960784312,-21.53367330046369,-22.25641159564951
1501.9215686274492,-21.60427213248488,-22.93212393355441
1501.9411764705865,-21.920962603898044,-22.63512721396663
1501.9607843137237,-21.848114768123178,-22.447695907642107
1501.980392156861,-21.314670289488514,-22.40416137002092
1501.9999999999982,-21.676813918618194,-22.493044046768087
1502.0196078431354,-21.556709079299697,-22.822968723763754
1502.0392156862727,-22.018124223468252,-22.7350451169713
1502.05882352941,-21.1251234979135,-21.85744399257158
1502.0784313725471,-21.976100504141403,-22.742224572671084
1502.0980392156844,-21.423438230921597,-22.361733907108338
1502.1176470588216,-21.540163295006494,-22.664036496386245
1502.1372549019588,-21.168813069275135,-22.383881206441036
1502.156862745096,-21.123221596026937,-22.48959930625655
1502.1764705882333,-21.76898657168171,-22.561054024289618
1502.1960784313706,-21.18772121165459,-21.899083786039412
1502.2156862745078,-21.127510575668698,-22.601603003760427
1502.235294117645,-21.885291331545677,-22.139556476018058
1502.2549019607823,-21.169185579877936,-21.761933018464802
1502.2745098039195,-21.443385611196145,-22.529707506405494
1502.2941176470567,-21.537124538328936,-22.36732407352805
1502.313725490194,-21.14979664262196,-22.510654323192426
1502.3333333333312,-21.356596120328714,-21.559793936419748
1502.3529411764684,-21.139860563027355,-21.969467750437833
1502.3725490196057,-21.134364752416854,-22.368565768619725
1502.392156862743,-21.17887559743775,-22.293110701997904
1502.4117647058802,-21.57104489058069,-21.663728278201496
1502.4313725490174,-20.767438246084414,-21.669234514130444
1502.4509803921546,-21.60283267588916,-21.713366615288695
1502.4705882352919,-20.90105781727486,-21.699035338871585
1502.490196078429,-21.177997886455884,-22.262836759130675
1502.5098039215663,-21.076267024538218,-22.27997723142577
1502.5294117647036,-20.996857260736714,-21.919534246733654
1502.5490196078408,-21.311331239337527,-22.0916822222967
1502.568627450978,-20.598349539406183,-21.370024747819514
1502.5882352941153,-21.260469232891257,-22.10292427725796
1502.6078431372525,-21.49956767499454,-21.438554668856845
1502.6274509803898,-21.218081663972455,-21.479896324518613
1502.647058823527,-20.867025507040758,-21.857858835896195
1502.6666666666642,-21.461033004783925,-21.277887664097207
1502.6862745098015,-20.602164830956575,-21.6412183212635
1502.7058823529387,-20.79569877161934,-22.171907331025338
1502.725490196076,-21.35472178236486,-21.860794440990734
1502.7450980392132,-20.516951749229317,-21.48738150291681
1502.7647058823504,-20.944218982699354,-21.848918732665325
1502.7843137254877,-20.751438556835897,-21.89285312238083
1502.803921568625,-20.94690682405269,-21.537936084783958
1502.8235294117621,-20.563642608480006,-21.880846938150565
1502.8431372548994,-20.6803346327281,-21.092073621576265
1502.8627450980366,-20.93149818214029,-21.662008244238894
1502.8823529411738,-21.184619097366486,-22.012698444524318
1502.901960784311,-20.643272714603608,-21.849358212425397
1502.9215686274483,-21.253703201475595,-21.34494462631572
1502.9411764705856,-20.698661092617733,-21.788248835774628
1502.9607843137228,-20.505716661727753,-21.39729226224189
1502.98039215686,-21.048795680394083,-21.745389405206794
1502.9999999999973,-20.496473239378773,-21.606118807999707
1503.0196078431345,-20.414268354284477,-21.031968402991605
1503.0392156862717,-20.44060583616836,-21.000117396477965
1503.058823529409,-20.464642007280435,-21.84799412740826
1503.0784313725462,-21.0775486021819,-21.358789016574992
1503.0980392156835,-20.15528260767474,-21.497331650102257
1503.1176470588207,-20.423944387156016,-21.437591643026277
1503.137254901958,-20.394013687932265,-20.950647101013203
1503.1568627450952,-20.331279205322737,-21.008829448071893
1503.1764705882324,-20.1364242538123,-21.025786867999035
1503.1960784313696,-20.622517853740696,-20.93710647121928
1503.2156862745069,-20.238060018629202,-21.22149723153842
1503.2352941176441,-20.232941062664015,-20.969421910048354
1503.2549019607814,-20.609734339171872,-21.285202697604305
1503.2745098039186,-20.097273662809574,-21.029620685889448
1503.2941176470558,-20.74973080155262,-21.15515195734133
1503.313725490193,-20.375187653303747,-21.503065295101223
1503.3333333333303,-20.057108094382492,-20.622485349060828
1503.3529411764675,-19.892937188860095,-21.367644203913358
